Zone,Storefront_Building,Commercial_Center,Commercial_House,General_Building,Small_General_Building,Row_Building,Double_House_A,House_A,House_B,House_C,House_D,Workshop,Civic_Building,Patio_Outdoor_Site,Open_Outdoor_Site
DX1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DX2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MX1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
MX2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
MXN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RX1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
RX2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
CX,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
IX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
NX4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
NX3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
NX2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
NX1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
N1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
N3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
P3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
